dest_iso3,total_refugees,pct_children,pct_elderly,pct_women_adult,pct_men_adult,pct_unknown_age
AUT,202980.0,0.23884126514927578,0.036284362991427725,0.459528032318455,0.2652970736033107,0.0
BEL,210490.0,0.2660458929165281,0.020856097676849258,0.43344101857570433,0.27946695805026367,0.0
BGR,162630.0,0.20918649695628114,0.033234950501137554,0.4250753243558999,0.33247248355162023,0.0
CHE,156960.0,0.2400611620795107,0.04928007135575943,0.4460053516819572,0.26465341488277266,0.0
CYP,54415.0,0.21593310668014334,0.03418175135532482,0.5156666360378572,0.2341266194983001,0.0
CZE,866515.0,0.2065399906522103,0.019982343063882333,0.43710726300179453,0.3363761735226742,0.0
DEU,2713425.0,0.2390226374416098,0.04027935174180233,0.4317587550789132,0.28781521508794233,0.0
DNK,100280.0,0.2376844834463502,0.034752692461108896,0.43029517351416036,0.2972177901874751,0.0
EST,79285.0,0.24090307119883964,0.030270542977864665,0.44163460932080467,0.2871287128712871,0.0
ESP,556285.0,0.25889606946079796,0.025535471925362,0.4338513531732835,0.28172609363905193,0.0
FIN,171900.0,0.21972076788830716,0.025043630017452006,0.4627108784176847,0.2924956369982548,0.0
FRA,104045.0,0.0005766735547119035,0.062136575520207606,0.6390504108799078,0.29823634004517274,0.0
HRV,63520.0,0.25920969773299746,0.020702141057934508,0.48787783375314864,0.2322103274559194,0.0
HUN,96925.0,0.28743874129481556,0.02723755481042043,0.45091565643538817,0.2344080474593758,0.0
IRL,264630.0,0.2597589086649284,0.02977742508407966,0.4355704190756906,0.27491214148055776,0.0
ISL,8815.0,0.15995462280204198,0.027226318774815655,0.4571752694271129,0.3556437889960295,0.0
ITA,125405.0,0.2080459311829672,0.04222319684223117,0.518838961763885,0.23093178102946454,0.0
LTU,112320.0,0.249866452991453,0.025551994301994303,0.47818732193732194,0.24639423076923078,0.0
LUX,8335.0,0.20935812837432513,0.055188962207558485,0.4709058188362327,0.2633473305338932,0.0
LVA,68940.0,0.20031911807368727,0.032056861038584274,0.42239628662605166,0.3453002610966057,0.0
MLT,5365.0,0.21808014911463186,0.04473438956197577,0.5153774464119292,0.22273998136067102,0.0
NLD,293095.0,0.22702536720176053,0.018662890871560416,0.4582132073218581,0.2960814752895819,0.0
NOR,186840.0,0.2430956968529223,0.03251445086705202,0.403687647184757,0.3207022050952687,0.0
POL,2370275.0,0.3775026104565926,0.014051112212717933,0.3789201674911139,0.22952400037970278,0.0
PRT,128475.0,0.21377699941622882,0.03152364273204904,0.4881105273399494,0.2658493870402802,0.0
ROU,437890.0,0.23647491379113475,0.02144374157893535,0.3717143574870401,0.37035556875014275,0.0
SWE,107060.0,0.21006912011955914,0.030683728750233515,0.42247337941341306,0.33677377171679435,0.0
SVN,24190.0,0.2385283174865647,0.04816039685820587,0.4570070276973956,0.2565109549400579,0.0
SVK,306555.0,0.23874997961214137,0.02179054329565657,0.4789515747582,0.2604915920471041,0.0
