dest_iso3,ua_population_2021
AUT,9973.0
BEL,5673.0
BGR,9149.0
CHE,7146.0
CYP,4573.0
CZE,193547.0
DEU,109279.0
DNK,13715.0
EST,14282.0
GRC,20737.0
ESP,97442.0
FIN,8561.0
FRA,18610.0
HRV,2405.0
HUN,63175.0
IRL,2144.0
ISL,221.0
ITA,230366.0
LIE,76.0
LTU,32884.0
LUX,997.0
LVA,9087.0
MLT,1192.0
NLD,8238.0
NOR,3135.0
POL,651221.0
PRT,27195.0
ROU,2260.0
SWE,6097.0
SVN,2655.0
SVK,54138.0
